institute,rank,score,state,zone,sector,year,,,,,,,,,,,,,,,,,,,,,,
"Chandigarh Business School of Administration, Mohali",162,555.6,Punjab,North,P,2019,,,,,,,,,,,,,,,,,,,,,,
"IIKM The Corporate B-School, Chennai",163,553.5,Tamil Nadu,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Indira School of Business Studies PGDM, Pune",164,553.3,Maharashtra,West,P,2019,,,,,,,,,,,,,,,,,,,,,,
"ICFAI University, Jharkhand ",165,551.9,Jharkhand,East,P,2019,,,,,,,,,,,,,,,,,,,,,,
"School of Management, Sree Saraswathi Thyagaraja College, Coimbatore",166,551.8,Tamil Nadu,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Sanjivani College of Engineering, Kopargaon",167,551.6,Maharashtra,West,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Centurion University of Technology and Management, Bhubaneswar",168,551.5,Odisha,East,P,2019,,,,,,,,,,,,,,,,,,,,,,
"School of Management, Sir Padampat Singhania University, Udaipur",169,551.3,Rajasthan,North,P,2019,,,,,,,,,,,,,,,,,,,,,,
"M.M. Institute of Management, Ambala",170,551,Haryana,North,P,2019,,,,,,,,,,,,,,,,,,,,,,
"DJ Academy for Managerial Excellence, Coimbatore",171,550.7,Tamil Nadu,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Hindusthan College of Engineering and Technology, Coimbatore",172,547.4,Tamil Nadu,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"The Business School, University of Jammu",173,546.4,Jammu and Kashmir,North,G,2019,,,,,,,,,,,,,,,,,,,,,,
"Adithya School of Business Management, Coimbatore",174,546.1,Tamil Nadu,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Kalaignarkarunanidhi Institute of Technology , Coimbatore",175,545.9,Tamil Nadu,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Alkesh Dinesh Mody Institute for Financial and Management Studies, Mumbai",176,542.7,Maharashtra,West,G,2019,,,,,,,,,,,,,,,,,,,,,,
"Durgadevi Saraf Institute of Management Studies, Mumbai",177,542.1,Maharashtra,West,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Vivekanand Education Society’s Institute of Management Studies and Research, Mumbai",178,542,Maharashtra,West,P,2019,,,,,,,,,,,,,,,,,,,,,,
"IBMR Business School, Gurugram",179,541.4,Haryana,North,P,2019,,,,,,,,,,,,,,,,,,,,,,
"GL Bajaj Institute of Technology and Management, Greater Noida",180,541.3,Uttar Pradesh,North,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Krupanidhi Group of Institutions, Bengaluru",181,538.8,Karnataka,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Institute of Engineering & Management, Kolkata",182,538.2,West Bengal,East,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Tecnia Institute of Advanced Studies, New Delhi",183,536.6,Delhi,North,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Lala Lajpatrai Institute of Management, Mumbai",184,536.3,Maharashtra,West,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Department of Management Studies, K.S. Rangasamy College of Technology, Tiruchengode",185,534.6,Tamil Nadu,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Heritage Business School, Kolkata",186,534.4,West Bengal,East,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Trident School of Management Studies, Trident Academy of Technology, Bhubaneswar",187,534,Odisha,East,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Lead College of Management, Palakkad",188,533.9,Kerala,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Faculty of Management Studies, The M.S. University of Baroda, Vadodara",189,533.5,Gujarat,West,G,2019,,,,,,,,,,,,,,,,,,,,,,
"Department of Management Studies, Easwari Engineering College, Chennai",190,533.2,Tamil Nadu,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Department of Management Studies (MBA), SNS College of Technology, Coimbatore",191,533,Tamil Nadu,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Department of Management Studies, Velalar College of Engineering and Technology, Erode",192,531.9,Tamil Nadu,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Faculty of Management Science, Shri Ram Murti Smarak College of Engineering and Technology, Bareilly",193,531.7,Uttar Pradesh,North,P,2019,,,,,,,,,,,,,,,,,,,,,,
"School of Management, Presidency University, Bengaluru ",194,530.3,Karnataka,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Sri Ramakrishna Arts and Science College, Coimbatore",195,529.9,Tamil Nadu,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Department of Management Studies, CMR Institute of Technology, Bengaluru",196,529.8,Karnataka,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Amity Business School, Lucknow",197,528.9,Uttar Pradesh,North,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Bharatiya Vidya Bhavan Institute of Management Science, Kolkata",198,528.5,West Bengal,East,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Department of Management Studies and Research Center, B.M.S. College of Engineering, Bengaluru ",199,527,Karnataka,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Medi-Caps University, Indore",200,526,Madhya Pradesh,West,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Chandigarh School of Business, Jhanjeri, Mohali",201,525.3,Punjab,North,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Teerthanker Mahaveer Institute of Management & Technology, Moradabad",202,525.2,Uttar Pradesh,North,P,2019,,,,,,,,,,,,,,,,,,,,,,
"V.M. Patel Institute of Management, Ganpat University, Mehsana",203,523,Gujarat,West,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Department of MBA, CMR College of Engineering and Technology, Hyderabad",204,522.7,Telangana,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Jaipur School of Business, JECRC University, Jaipur",205,522,Rajasthan,North,P,2019,,,,,,,,,,,,,,,,,,,,,,
